uri,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,valence,tempo
6o83OvL2X2I9YjTreREVX9,0.807,0.606,3,-8.871,0.0872,0.0946,0.0,0.304,92.988
2T4QfRdhGf1BxKNyLBkE6N,0.807,0.606,3,-8.871,0.0872,0.0946,0.0,0.304,92.988
6k0rozlo2pjajMJSV26YUE,0.777,0.663,6,-5.799,0.244,0.11,0.0,0.583,179.971
2krNOqdPZApb8To7F22h8t,0.776,0.629,0,-6.09,0.0505,0.0268,0.0,0.104,97.066
1U6K8MHPdkqaBoJOfhXjPx,0.776,0.629,0,-6.09,0.0505,0.0268,0.0,0.104,97.066
2jXvdJ0tDtbksFOK85Vie0,0.804,0.786,10,-3.837,0.0735,0.144,0.0,0.575,91.992
0ez17BDxctWVhtAH0bAR5R,0.776,0.629,0,-6.09,0.0505,0.0268,0.0,0.104,97.066
7c3qCkbYKDJe8bcWTD6A3j,0.807,0.606,3,-8.871,0.0872,0.0946,0.0,0.304,92.988
0JEHtQP8OymO9fIUEZX5KF,0.759,0.843,8,-3.718,0.0913,0.127,0.0,0.56,105.016
7lBFGIrf4ti3eylvgR4s4R,0.804,0.786,10,-3.837,0.0735,0.144,0.0,0.575,91.992
7LtXmsv58ijM3k2dP6h6fR,0.807,0.606,3,-8.871,0.0872,0.0946,0.0,0.304,92.988
0VuMYPVXdyIKcfmbMKzaSi,0.807,0.606,3,-8.871,0.0872,0.0946,0.0,0.304,92.988
4pJUzyPGGBdV2yKlqYLNTN,0.759,0.843,8,-3.718,0.0913,0.127,0.0,0.56,105.016
5LpyVD81GEyO9GNLsNI7QU,0.807,0.606,3,-8.871,0.0872,0.0946,0.0,0.304,92.988
2e6LSOjyAy2LetfStcKVRS,0.759,0.843,8,-3.718,0.0913,0.127,0.0,0.56,105.016
0YKl5wq8BbvZBtgabzlc5D,0.759,0.843,8,-3.718,0.0913,0.127,0.0,0.56,105.016
3sc8Faubr986Pkb27gfJat,0.804,0.786,10,-3.837,0.0735,0.144,0.0,0.575,91.992
2Zlqc4m6Gv0tSsgDS87LJQ,0.759,0.843,8,-3.718,0.0913,0.127,0.0,0.56,105.016
74EYiffq5P9dc6lfYJ6tPM,0.759,0.843,8,-3.718,0.0913,0.127,0.0,0.56,105.016
37o1JVuF7NnYWKYzLCe32r,0.822,0.726,11,-6.177,0.0593,0.28,0.0,0.691,93.014
7Co104EUwfOXsIm3qam2Dj,0.835,0.718,7,-5.62,0.0694,0.226,1.99e-06,0.427,92.028
7AhSY7tH8oT0T9FpRKXl9q,0.654,0.695,10,-3.987,0.173,0.0643,0.0,0.582,81.153
5t22v52YE4S82SVLYUhYSw,0.835,0.718,7,-5.62,0.0694,0.226,1.99e-06,0.427,92.028
5ls7oqk4nnxgPAJmGqZyTw,0.776,0.629,0,-6.09,0.0505,0.0268,0.0,0.104,97.066
1NzcfWIiD1SnRnqkzT2lfD,0.773,0.753,10,-4.173,0.06,0.122,4.8e-05,0.56,179.983
7iagi306NrUMhjowfe2d98,0.776,0.629,0,-6.09,0.0505,0.0268,0.0,0.104,97.066
4JELRSQrBtkmK2QN5UKKjH,0.804,0.786,10,-3.837,0.0735,0.144,0.0,0.575,91.992
1Px7xuvKUtX8ctQl2tcjZz,0.759,0.843,8,-3.718,0.0913,0.127,0.0,0.56,105.016
2hQMQgsTvJx7GykYm7FQOy,0.841,0.601,0,-7.295,0.223,0.197,3.35e-06,0.362,97.912
7zubR9uYAWjb5KPZTMm85e,0.759,0.843,8,-3.718,0.0913,0.127,0.0,0.56,105.016
48VdMOHlnUZr3k0NDqza3r,0.759,0.843,8,-3.718,0.0913,0.127,0.0,0.56,105.016
45sGF1ECh24oYcaSZ4jBxz,0.759,0.843,8,-3.718,0.0913,0.127,0.0,0.56,105.016
2d21akUnz6DXYVbkvuJy0r,0.853,0.777,1,-4.025,0.0689,0.0972,0.000501,0.555,94.023
0rXUq0QEtQg4gRvd4EPHGf,0.835,0.718,7,-5.62,0.0694,0.226,1.99e-06,0.427,92.028
4oOPtRCqhe9ROLXr4wS3it,0.843,0.731,11,-5.583,0.134,0.259,0.0,0.636,93.013
053mlrYW02zC0dUsIsRUKG,0.835,0.718,7,-5.62,0.0694,0.226,1.99e-06,0.427,92.028
1BklyWf82TLsq3ZjwGiuSC,0.753,0.505,2,-7.569,0.0641,0.105,0.0,0.36,149.015
5IVqIRad9HF0f41fjpZBKa,0.855,0.71,1,-5.321,0.0939,0.0426,0.0,0.591,89.977
0M8c4ZbBMro9S2G65ir83R,0.759,0.843,8,-3.718,0.0913,0.127,0.0,0.56,105.016
0xCaQb8CfEuBCBZANmpf5b,0.723,0.622,4,-5.184,0.0467,0.189,5.86e-05,0.538,94.024
29DqzX6ftTnRTaelDUF1rn,0.777,0.714,11,-4.296,0.0532,0.16,0.0,0.59,90.987
6rPO02ozF3bM7NnOV4h6s2,0.653,0.816,2,-4.353,0.167,0.228,0.0,0.816,178.085
